	Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"June 6, 2018"
Statement,Data,WhenGenerated,"2018-06-07, 04:31:39 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,DONTIA D MOORE Sr.
Account Information,Data,Account,U2519271
Account Information,Data,Money Manager,IB Asset Management
Account Information,Data,Account Type,Money Manager Client
Account Information,Data,Customer Type,Individual
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Total,0,0,0,0,0
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,0
Change in NAV,Data,Ending Value,0
Cash Report,Header,Currency Summary,Currency,Total,Securities,Futures,Month to Date,Year to Date,
Cash Report,Data,Starting Cash,Base Currency Summary,0,0,0,,,
Cash Report,Data,Ending Cash,Base Currency Summary,0,0,0,,,
Cash Report,Data,Ending Settled Cash,Base Currency Summary,0,0,0,,,
Statement of Funds,Header,Currency,Report Date,Activity Date,Description,Debit,Credit,Balance
Statement of Funds,Data,Base Currency Summary,2018-06-06,,Opening Balance, , ,0
Statement of Funds,Data,Base Currency Summary,2018-06-06,,Closing Balance, , ,0
"No exercises, assignments or expirations for June 6, 2018"
Base Currency Exchange Rate,Header,Currency,Rate
Base Currency Exchange Rate,Data,AUD,0.766710
Base Currency Exchange Rate,Data,BRL,0.259640
Base Currency Exchange Rate,Data,CAD,0.772630
Base Currency Exchange Rate,Data,CHF,1.013700
Base Currency Exchange Rate,Data,CNH,0.156790
Base Currency Exchange Rate,Data,CNY,0.156530
Base Currency Exchange Rate,Data,CZK,0.045868
Base Currency Exchange Rate,Data,DKK,0.158120
Base Currency Exchange Rate,Data,EUR,1.177400
Base Currency Exchange Rate,Data,GBP,1.341300
Base Currency Exchange Rate,Data,HKD,0.127430
Base Currency Exchange Rate,Data,HUF,0.003704
Base Currency Exchange Rate,Data,ILS,0.280020
Base Currency Exchange Rate,Data,INR,0.014961
Base Currency Exchange Rate,Data,JPY,0.009076
Base Currency Exchange Rate,Data,KRW,0.000937
Base Currency Exchange Rate,Data,MXN,0.049264
Base Currency Exchange Rate,Data,NOK,0.123750
Base Currency Exchange Rate,Data,NZD,0.703350
Base Currency Exchange Rate,Data,PLN,0.275990
Base Currency Exchange Rate,Data,RUB,0.016178
